cik,sic,sic1,sic2,sic3
34296,2860,2,28,286
34339,2590,2,25,259
34371,4924,4,49,492
34408,5331,5,53,533
34471,3360,3,33,336
34489,3990,3,39,399
34497,4813,4,48,481
34501,2320,2,23,232
34563,2090,2,20,209
34629,3569,3,35,356
34645,3559,3,35,355
34768,5912,5,59,591
34782,6020,6,60,602
34891,2631,2,26,263
34903,6798,6,67,679
34908,3452,3,34,345
34956,2836,2,28,283
34977,5065,5,50,506
35214,2851,2,28,285
35469,2211,2,22,221
35527,6020,6,60,602
35590,7812,7,78,781
35733,6311,6,63,631
36029,6020,6,60,602
36047,7374,7,73,737
36094,6020,6,60,602
36104,6020,6,60,602
36127,8071,8,80,807
36146,6020,6,60,602
36161,6020,6,60,602
36172,6035,6,60,603
36173,6020,6,60,602
36204,6020,6,60,602
36207,6798,6,67,679
36270,6020,6,60,602
36326,7323,7,73,732
36340,6020,6,60,602
36352,6020,6,60,602
36377,6020,6,60,602
36506,6020,6,60,602
36522,6020,6,60,602
36672,6020,6,60,602
36703,6020,6,60,602
36948,6020,6,60,602
36966,6020,6,60,602
36995,6020,6,60,602
37008,6798,6,67,679
37032,6020,6,60,602
37049,6020,6,60,602
37059,6035,6,60,603
37076,6020,6,60,602
37093,6020,6,60,602
37115,3823,3,38,382
37248,4931,4,49,493
37358,2891,2,28,289
37472,2510,2,25,251
37481,8200,8,82,820
37525,5990,5,59,599
37594,5030,5,50,503
37643,4931,4,49,493
37651,3270,3,32,327
37743,3825,3,38,382
37748,1220,1,12,122
37755,3050,3,30,305
37785,2870,2,28,287
37808,6020,6,60,602
37912,5411,5,54,541
37914,5411,5,54,541
37931,7311,7,73,731
37941,6153,6,61,615
37946,3272,3,32,327
37996,3711,3,37,371
38074,2834,2,28,283
38188,6726,6,67,672
38195,2621,2,26,262
38242,1311,1,13,131
38264,3100,3,31,310
38475,6020,6,60,602
38483,6532,6,65,653
38570,1531,1,15,153
38725,3621,3,36,362
38777,6282,6,62,628
38851,2011,2,20,201
38868,5600,5,56,560
38984,3341,3,33,334
39020,3825,3,38,382
39047,5812,5,58,581
39092,3310,3,33,331
39135,5812,5,58,581
39263,6020,6,60,602
39273,4213,4,42,421
39311,6020,6,60,602
39368,2891,2,28,289
39394,6020,6,60,602
39503,5961,5,59,596
39547,4813,4,48,481
39648,7200,7,72,720
39677,1531,1,15,153
39838,3531,3,35,353
39899,4833,4,48,483
39911,5651,5,56,565
39917,2300,2,23,230
40211,4700,4,47,470
40417,6726,6,67,672
40443,7372,7,73,737
40454,6020,6,60,602
40461,3579,3,35,357
40472,7011,7,70,701
40493,2731,2,27,273
40511,6153,6,61,615
40518,3661,3,36,366
40528,4955,4,49,495
40533,3721,3,37,372
40542,2790,2,27,279
40545,9997,9,99,999
40570,7361,7,73,736
40638,5200,5,52,520
40643,3360,3,33,336
40656,3674,3,36,367
40675,3490,3,34,349
40687,3470,3,34,347
40703,3679,3,36,367
40704,2040,2,20,204
40729,6172,6,61,617
40779,4911,4,49,491
40858,4813,4,48,481
40888,3760,3,37,376
40934,2030,2,20,203
40944,3842,3,38,384
40956,8711,8,87,871
40970,5912,5,59,591
40972,3825,3,38,382
40987,5013,5,50,501
41023,1311,1,13,131
41052,2670,2,26,267
41077,2600,2,26,260
41107,1382,1,13,138
41130,2030,2,20,203
41133,3559,3,35,355
41147,8051,8,80,805
41289,5411,5,54,541
41296,9995,9,99,999
41304,1040,1,10,104
41365,2780,2,27,278
